ANO_ELEICAO,ZONA,NUMERO_LOCAL_VOTACAO,LOCAL_VOTACAO,BAIRRO
2020,186,1244,ESCOLA MUNICIPAL JARDIM ANA MARIA,PALMITAL
2020,186,1252,ESCOLA MUNICIPAL JARDIM DAS GRACAS,DAS GRACAS
2020,186,1392,ESCOLA MUNICIPAL JARDIM GUARUJA,SAO GABRIEL
2020,186,1201,ESCOLA MUNICIPAL JOSE FREDERICO PAULO WEIGERT,RINCAO
2020,186,1236,ESCOLA MUNICIPAL JOVINO DO ROSARIO,PALMITAL
2020,186,1090,ESCOLA MUNICIPAL MONTEIRO LOBATO,ATUBA
2020,186,1139,ESCOLA MUNICIPAL PADRE ANGELO ALEGRINI,CANGUIRI
2020,186,1058,ESCOLA MUNICIPAL PADRE DURVAL SECCHI,GUARAITUBA
2020,186,1210,ESCOLA MUNICIPAL PADRE JONES JOAO TIBOLLA,PALOMA
2020,186,1180,ESCOLA MUNICIPAL PARQUE MONTE CASTELO,SAO DIMAS
2020,186,1163,ESCOLA MUNICIPAL SANTA ISABEL,GUARAITUBA
2020,186,1147,ESCOLA MUNICIPAL SEVERO RIBEIRO DE CAMARGO,SAO DIMAS
2020,186,1120,ESCOLA RURAL MUNICIPAL IMBUIAL DA ROSEIRA,ROSEIRA
2020,186,1082,FACULDADE EDUCACIONAL DE COLOMBO - FAEC,RIO VERDE
2022,49,1341,CAIC- ESCOLA MUNICIPAL PEDRO VIRIATO PARIGOT DE SOUZA,SAO GABRIEL
2022,49,1317,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ESPACO DA CRIANCA,CENTRO
2022,49,1457,COLEGIO ESTADUAL ALFREDO CHAVES,RIO VERDE
2022,49,1066,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETTO,ROCA GRANDE
2022,49,1082,COLEGIO ESTADUAL DOM JOAO BOSCO,ROCA GRANDE
2022,49,1414,COLEGIO ESTADUAL HELENA KOLODY,MONZA
2022,49,1406,COLEGIO ESTADUAL JOAO RIBEIRO DE CAMARGO,SAO GABRIEL
2022,49,1180,COLEGIO ESTADUAL PRESIDENTE ABRAHAN LINCOLN,CENTRO
2022,49,1392,COLEGIO ESTADUAL TANCREDO DE ALMEIDA NEVES,ARRUDA
2022,49,1015,COLEGIO PASSIONISTA ROSARIO,CENTRO
2022,49,1465,ESCOLA MUNICIPAL AGRIPINO JOAO TOSIN,RIO VERDE
2022,49,1031,ESCOLA MUNICIPAL ANDRE NADOLNY,SAO GABRIEL
2022,49,1430,ESCOLA MUNICIPAL ANTONIO ANDRE JOHNSSON,MONZA
2022,49,1252,ESCOLA MUNICIPAL CARLOS FONTOURA FALAVINHA,SAO GABRIEL
2022,49,1287,ESCOLA MUNICIPAL CRISTOVAO COLOMBO,CENTRO
2022,49,1325,ESCOLA MUNICIPAL ELVIRA NODARI ALBERTI,ROCA GRANDE
2022,49,1201,ESCOLA MUNICIPAL GABRIEL D ANUNCIO STRAPASSON,OSASCO
